input_gibberish,target_correct,shift_type
xoubckdxgzbjx,spindleshanks,L_DOWN__R_LEFT
vstsmr.kxr,caramelize,L_RIGHT__R_DOWN
hskjst,jalkar,L_RIGHT__R_LEFT
o43g354qt,prebetray,L_UP__R_LEFT
q78haw,quinse,L_LEFT__R_UP
xou,sou,L_DOWN__R_STAY
cnflmdxgndxkz,chromesthesia,L_DOWN__R_DOWN
o9s9e9h,loxodon,L_UP__R_UP
j358d7o97wh3ww,meticulousness,L_UP__R_UP
anakrwe,smalter,L_LEFT__R_LEFT
dvdn,even,L_DOWN__R_DOWN
s7h8yr,augite,L_RIGHT__R_UP
ortufubusvrsr,peridiniaceae,L_RIGHT__R_LEFT
w305qht7oq4,septangular,L_UP__R_UP
",o;ewoa",milreis,L_LEFT__R_RIGHT
ayvxinnur,subcommit,L_LEFT__R_LEFT
qyiub,quoin,L_LEFT__R_LEFT
cdvdzg8xg,defeatist,L_DOWN__R_UP
si[errea;ost,superrealist,L_STAY__R_RIGHT
"2nl43.k,3",whorelike,L_UP__R_DOWN
gnkl;nlx;nkgd,thiophosphite,L_DOWN__R_DOWN
8hdefect8boe,indefectible,L_STAY__R_UP
i9ox7h,kolsun,L_DOWN__R_UP
iuknibgert,oilmongery,L_STAY__R_LEFT
0f9xdo6g8xj,proselytism,L_DOWN__R_UP
kama.,ismal,L_LEFT__R_DOWN
"imamo,ostoca;;u",unanimistically,L_STAY__R_RIGHT
ydgdf9j9f0y9x8x,heteromorphosis,L_DOWN__R_UP
gzygindgdf,tautometer,L_DOWN__R_LEFT
v8gcydg,fitchet,L_DOWN__R_UP
dr[ygpo;,septfoil,L_RIGHT__R_RIGHT
wyrdygyk,questful,L_RIGHT__R_LEFT
fprlbeard,forkbeard,L_STAY__R_RIGHT
vtsem,crawm,L_RIGHT__R_DOWN
"imcdcp,[pimcdc",undecompounded,L_DOWN__R_RIGHT
tr;sddshr,repassage,L_RIGHT__R_DOWN
aoeixinw,soricine,L_LEFT__R_STAY
aveahamisaw,abrahamidae,L_LEFT__R_STAY
doule4on,couldron,L_UP__R_STAY
ybfurd,undies,L_RIGHT__R_LEFT
d7ndy8y7y89hsoo6,substitutionally,L_RIGHT__R_UP
mlenjtn,mowburn,L_RIGHT__R_DOWN
ginekesskt,homelessly,L_STAY__R_LEFT
[ivwerox,pubertic,L_LEFT__R_RIGHT
"a[pstp;ocos,",apostolicism,L_STAY__R_RIGHT
odbcdkdxx,penceless,L_DOWN__R_LEFT
svy8h9dyrtr9dv906,actinostereoscopy,L_RIGHT__R_UP
;snptomh;u,laboringly,L_RIGHT__R_RIGHT
zhg8zb9o8g89h8xg,antiabolitionist,L_DOWN__R_UP
a7r9swx9j09a8r89h,autodecomposition,L_LEFT__R_UP
"ra,osectp,u",ramisectomy,L_STAY__R_RIGHT
";doxj,zmoz",leishmania,L_DOWN__R_RIGHT
"5pmpt4q,",tonogram,L_UP__R_RIGHT
cibbzybgg,connaught,L_DOWN__R_LEFT
d858r8dq589h,citification,L_UP__R_UP
energe,emerge,L_STAY__R_LEFT
aqyaeua,aquaria,L_LEFT__R_LEFT
catecnjmensnk;,catechumenship,L_STAY__R_DOWN
mpm[tpyrom,nonprotein,L_RIGHT__R_RIGHT
semktljr,semitour,L_STAY__R_DOWN
etyh9o9ger,ethnologer,L_STAY__R_UP
knstab.e,instable,L_STAY__R_DOWN
nizubg,mozing,L_STAY__R_LEFT
f8syberr6,fishberry,L_STAY__R_UP
xcfzs,scraw,L_DOWN__R_STAY
gqukwgi5,hailshot,L_UP__R_LEFT
oayr,paut,L_LEFT__R_LEFT
0df80gdfzo,peripteral,L_DOWN__R_UP
h9hrtt9hr97d,nonerroneous,L_RIGHT__R_UP
"oatrp,atje,atoca;",iatromathematical,L_STAY__R_RIGHT
omfoto;q5p4,invigilator,L_UP__R_RIGHT
sw8x8sao,deicidal,L_LEFT__R_UP
qppsjpiaw,woodhouse,L_LEFT__R_RIGHT
o8fyrywaerwso6,lightheartedly,L_LEFT__R_UP
tnklfjrfjrane,thiofurfurane,L_STAY__R_DOWN
imfocdfdc,unridered,L_DOWN__R_RIGHT
;awfw.,paegel,L_LEFT__R_DOWN
hryrtodiphonslrd,heterosiphonales,L_RIGHT__R_STAY
sjpcl,shock,L_STAY__R_RIGHT
qd4o5p;,acritol,L_UP__R_RIGHT
x[fzuvi;,sprayful,L_DOWN__R_RIGHT
vtiddysuk,crosstail,L_RIGHT__R_LEFT
.knfwekw,lingerie,L_LEFT__R_DOWN
sns;ns.kd,anaphalis,L_RIGHT__R_DOWN
j9fbz,morga,L_DOWN__R_UP
dmbifz,embira,L_DOWN__R_STAY
nsbyrtrt,banterer,L_RIGHT__R_LEFT
;4l;h.qmkn3,propylamine,L_UP__R_DOWN
jaxe9r9jw,macrotome,L_LEFT__R_UP
wyg34u5ueq3,suberitidae,L_UP__R_LEFT
qh5843h5,antirent,L_UP__R_UP
xdnubzkkt,seminally,L_DOWN__R_LEFT
qg3;3,abele,L_UP__R_RIGHT
fdgdc897x,retecious,L_DOWN__R_UP
qaagvaajwr,washbasket,L_LEFT__R_LEFT
eorrodi;5u,difficulty,L_UP__R_RIGHT
lymphzc,lymphad,L_DOWN__R_STAY
d9jj8ww89h34,commissioner,L_UP__R_UP
se8zer,seizer,L_STAY__R_UP
0q8ho3wwo6,painlessly,L_UP__R_UP
[pstsustp;oc,postsystolic,L_STAY__R_RIGHT
wqrq4,safar,L_UP__R_UP
qljeqe,aoudad,L_UP__R_DOWN
hooknow3,hooknose,L_UP__R_STAY
iergiwouarux,orthoepistic,L_LEFT__R_LEFT
jnclntrlvertkb.eness,uncontrovertibleness,L_STAY__R_DOWN
if34ubwuw53b5,overinsistent,L_UP__R_LEFT
adixa,adoxa,L_STAY__R_LEFT
"o,,zgdfozgd",immateriate,L_DOWN__R_RIGHT
7h8jjaheht,unimmanent,L_STAY__R_UP
tricgkearufirn,trochleariform,L_STAY__R_LEFT
9es9c8xwa,ordovices,L_LEFT__R_UP
vnstsvyrtkxsykln,characterization,L_RIGHT__R_DOWN
53b5gn3534,tenthmeter,L_UP__R_LEFT
wotjerer,witherer,L_STAY__R_RIGHT
ofigixicuzk,protosocial,L_DOWN__R_LEFT
plumgid,plumbic,L_UP__R_STAY
ektknrdd,wiriness,L_RIGHT__R_DOWN
jq4468ht,marrying,L_UP__R_UP
ri43eiin34,foredoomer,L_UP__R_LEFT
cugmis,cygnus,L_STAY__R_RIGHT
"eptfd,smdjo[",wordsmanship,L_RIGHT__R_RIGHT
c7o0abo6,culpably,L_STAY__R_UP
ds.ysylt,saltator,L_RIGHT__R_DOWN
ho69c8jr,glyoxime,L_RIGHT__R_UP
43;k;3,repipe,L_UP__R_DOWN
0y8oatyea,philathea,L_STAY__R_UP
;l5qwwkjm,potassium,L_UP__R_DOWN
"dadaos,",dadaism,L_STAY__R_RIGHT
qj5l3.3d54lnkd,autoelectronic,L_UP__R_DOWN
dif345b3ww,covertness,L_UP__R_LEFT
5iki2q,tolowa,L_UP__R_LEFT
imdmrvl,unsneck,L_RIGHT__R_RIGHT
ybsiyvrubfbwaa,undoubtingness,L_LEFT__R_LEFT
k3mql,kemal,L_UP__R_STAY
w5lmq5l;leq,stomatopoda,L_UP__R_DOWN
awnusinw,semidome,L_LEFT__R_LEFT
wjv8ea,embira,L_LEFT__R_UP
dyres,shewa,L_RIGHT__R_UP
cdzxoufzgd,deaspirate,L_DOWN__R_LEFT
styl;nshljd,artophagous,L_RIGHT__R_DOWN
8x9gf8z,isotria,L_DOWN__R_UP
cgzubkdg,chainlet,L_DOWN__R_LEFT
serro,aweel,L_RIGHT__R_UP
imytsmdgrttrf,untransferred,L_RIGHT__R_RIGHT
7hw3h5,unsent,L_UP__R_UP
"jp,pdpgd;",homoeotel,L_DOWN__R_RIGHT
0dhc7ozgd,pendulate,L_DOWN__R_UP
09a9ow,posole,L_LEFT__R_UP
xyffiybcubb,surrounding,L_DOWN__R_LEFT
saxeyoxyaroayeinforomy,dacryocystosyringotomy,L_LEFT__R_STAY
mlnl;.asmatkc,monoplasmatic,L_STAY__R_DOWN
g48oo8qh528w3,brilliantwise,L_UP__R_UP
"b.zc,vkn",blackfin,L_DOWN__R_DOWN
nonholgrt,nongolfer,L_RIGHT__R_STAY
xibfewai,congreso,L_LEFT__R_LEFT
hjshsnk,guayabi,L_RIGHT__R_DOWN
i[breed,upbreed,L_STAY__R_RIGHT
nrnvhrtdhip,benchership,L_RIGHT__R_STAY
ds;;peu,sallowy,L_RIGHT__R_RIGHT
;htkflcknr,pyridoxine,L_RIGHT__R_DOWN
tsggomh,raffing,L_RIGHT__R_RIGHT
w3mkr.lwdj.3,semifloscule,L_UP__R_DOWN
ensemb.e,ensemble,L_STAY__R_DOWN
nonzoolobiczl,nonzoological,L_DOWN__R_STAY
",3wpq4oq;",mesoarial,L_UP__R_RIGHT
trvomninsyion,recombination,L_RIGHT__R_STAY
aowwsukt,speedily,L_LEFT__R_LEFT
;qnt.kmq,panglima,L_UP__R_DOWN
nonnumrtsl,nonnumeral,L_RIGHT__R_STAY
nitirogibe,motorphobe,L_STAY__R_LEFT
g335n,beeth,L_UP__R_DOWN
oweaxeuvw,perscribe,L_LEFT__R_LEFT
react8vate,reactivate,L_STAY__R_UP
"e,[;ectote",emplectite,L_STAY__R_RIGHT
retr9gress,retrogress,L_STAY__R_UP
"[jpw[jp2p;r4q,od",phosphowolframic,L_UP__R_RIGHT
zyxgfizxuzguc,austroasiatic,L_DOWN__R_LEFT
"omqmo,q53m3ww",inanimateness,L_UP__R_RIGHT
xlnrdynrdks,zonesthesia,L_RIGHT__R_DOWN
rcrvyyitusk,executorial,L_RIGHT__R_LEFT
ybfwbwearw,ungenerate,L_LEFT__R_LEFT
"bk..bac,",billback,L_STAY__R_DOWN
rcvsthsyr,excarnate,L_RIGHT__R_UP
zfcn;fzcgkcd,archpractice,L_DOWN__R_DOWN
qwarmwaa,westness,L_LEFT__R_RIGHT
ljsxstosm,khazarian,L_RIGHT__R_RIGHT
8hfestat89h,infestation,L_STAY__R_UP
slmatls;.ancnnkc,somatosplanchnic,L_STAY__R_DOWN
3y4tkqunyw,eurylaimus,L_UP__R_LEFT
5hi4533n34,thirteener,L_UP__R_STAY
kubsi,lindo,L_LEFT__R_LEFT
;.zghczfhz,platycarya,L_DOWN__R_DOWN
xaer9feaj,cartogram,L_LEFT__R_UP
cyobizfc,cupboard,L_DOWN__R_LEFT
gnklcn.lfkcd,thiochloride,L_DOWN__R_DOWN
",oxomvpf,zgopm",misinformation,L_DOWN__R_RIGHT
xsz;;ps;omb,swallowling,L_DOWN__R_RIGHT
nugfigioux,nutritious,L_DOWN__R_STAY
imwrwema;,uneternal,L_LEFT__R_RIGHT
h8hy7,nintu,L_RIGHT__R_UP
;werknaxkljanwaa,pertinaciousness,L_LEFT__R_DOWN
sgyvra,shuvra,L_STAY__R_LEFT
5qpi4ieq3,tapiridae,L_UP__R_STAY
fkeer,fleer,L_STAY__R_LEFT
tsjtsvr,ramrace,L_RIGHT__R_UP
gdzcup,teacup,L_DOWN__R_STAY
drp[suwprt,dropsywort,L_STAY__R_RIGHT
;zcgzxd,lactase,L_DOWN__R_RIGHT
s[jempgra[jost,sphenographist,L_STAY__R_RIGHT
;.q5lnkaq5kln,platonization,L_UP__R_DOWN
pewsiapoawsly,predisposedly,L_LEFT__R_STAY
xh;ndf,sypher,L_DOWN__R_DOWN
artoci;are,articulare,L_STAY__R_RIGHT
knw54jd5l4wnk;,instructorship,L_UP__R_DOWN
"ta,ejcnk",takeuchi,L_STAY__R_DOWN
qw549853,astroite,L_UP__R_UP
zbguodcibzoguxn,antipedobaptism,L_DOWN__R_LEFT
qb5uqog4ieuwuqd,antiaphrodisiac,L_UP__R_LEFT
sthrl.ene,styrolene,L_STAY__R_DOWN
wuekubt,sidling,L_UP__R_LEFT
ozkzgzkuxn,palatalism,L_DOWN__R_LEFT
ybnaeews,unmarred,L_LEFT__R_LEFT
;o[psuarep[joa,lipodystrophia,L_LEFT__R_RIGHT
vibuara,boniata,L_LEFT__R_LEFT
hd0yfzg9h8z,nephratonia,L_DOWN__R_UP
mlnld3n54lke,monocentroid,L_UP__R_DOWN
;l.hzcljxgkc,polyacoustic,L_DOWN__R_DOWN
8hrwe8hc9ocw,interinvolve,L_LEFT__R_UP
s6haxar89h,synaxarion,L_STAY__R_UP
;q2gppl,lawbook,L_UP__R_RIGHT
jq4qtuq,jaragua,L_UP__R_STAY
opdonohrn,opsonogen,L_RIGHT__R_STAY
lyogfopd,lyotrope,L_DOWN__R_STAY
vptunsmyomr,corybantine,L_RIGHT__R_RIGHT
hq2rqkk,jawfall,L_UP__R_LEFT
frsyhinrdd,deathiness,L_RIGHT__R_STAY
ocwevansws,overbanded,L_LEFT__R_STAY
ntsvjuitsmov,brachyuranic,L_RIGHT__R_RIGHT
nd;nflcl.kc,nephrocolic,L_DOWN__R_DOWN
h9hfdcd0g89h,nonreception,L_DOWN__R_UP
omgptyimr,infortune,L_RIGHT__R_RIGHT
mjdnss,mushaa,L_RIGHT__R_DOWN
dpev;pq,forblow,L_LEFT__R_RIGHT
oeirigwnuorweiya,protohemipterous,L_LEFT__R_LEFT
wmqll,small,L_UP__R_STAY
"mljxd.k,d",mouselike,L_DOWN__R_DOWN
lamppm,kanoon,L_STAY__R_RIGHT
ptofuvyif,productid,L_RIGHT__R_STAY
ne..h,nelly,L_STAY__R_DOWN
vdffjczfklkc,verrucarioid,L_DOWN__R_DOWN
;zgfkxgkcz.,patristical,L_DOWN__R_DOWN
f9refatyero6,forefatherly,L_STAY__R_UP
[fdxdmo;ogu,presenility,L_DOWN__R_RIGHT
ovdfnoixd,overnoise,L_DOWN__R_STAY
dekhh.r,swiggle,L_RIGHT__R_DOWN
vuiarweub,biosterin,L_LEFT__R_LEFT
imdyp[[;r,unstopple,L_RIGHT__R_RIGHT
fibixixxya,gonococcus,L_LEFT__R_LEFT
apofalaxrwum,apogalacteum,L_LEFT__R_STAY
"fs,pv;rsm",damoclean,L_RIGHT__R_RIGHT
sucisdfdc,widowered,L_DOWN__R_LEFT
ivdfzccyfzct,overaccuracy,L_DOWN__R_LEFT
grasscyt,grasscut,L_STAY__R_LEFT
bfzcju[mdz,brachypnea,L_DOWN__R_RIGHT
awffaes,seggard,L_LEFT__R_UP
impiyd[plrm,unoutspoken,L_RIGHT__R_RIGHT
x70z8,supai,L_DOWN__R_UP
vstsnufsr,carabidae,L_RIGHT__R_LEFT
rpwwo;;ol3,fossillike,L_UP__R_RIGHT
psitrf,paired,L_RIGHT__R_STAY
aiob,quib,L_DOWN__R_RIGHT
yq84e43ww34,hairdresser,L_UP__R_UP
[s;;s,palla,L_RIGHT__R_RIGHT
